timestamp,hostname,process,pid,message
Feb 14 15:13:57,jkvcombo,systemd-modules-load,187,Inserted module 'lp'
Feb 14 15:13:57,jkvcombo,systemd-modules-load,187,Inserted module 'ppdev'
Feb 14 15:13:57,jkvcombo,systemd-modules-load,187,Inserted module 'parport_pc'
Feb 14 15:13:57,jkvcombo,systemd-modules-load,187,Inserted module 'msr'
Feb 14 15:13:57,jkvcombo,systemd-modules-load,187,Module 'fuse' is built in
Feb 14 15:13:57,jkvcombo,systemd,1,Starting Flush Journal to Persistent Storage...
Feb 14 15:13:57,jkvcombo,systemd,1,Finished Set the console keyboard layout.
Feb 14 15:13:57,jkvcombo,systemd,1,Reached target Preparation for Local File Systems.
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for bare, revision 5..."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for core20, revision 1974..."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for core22, revision 858..."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for firefox, revision 2987..."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for gnome-3-38-2004, revision 143..."
Feb 14 15:13:57,jkvcombo,systemd-modules-load,187,Inserted module 'vmwgfx'
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for gnome-42-2204, revision 120..."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for gtk-common-themes, revision 1535..."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for snap-store, revision 959..."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for snapd, revision 19457..."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounting Mount unit for snapd-desktop-integration, revision 83..."
Feb 14 15:13:57,jkvcombo,systemd,1,Finished Load Kernel Modules.
Feb 14 15:13:57,jkvcombo,systemd,1,Started Rule-based Manager for Device Events and Files.
Feb 14 15:13:57,jkvcombo,systemd,1,Finished Coldplug All udev Devices.
Feb 14 15:13:57,jkvcombo,systemd,1,Finished Flush Journal to Persistent Storage.
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for bare, revision 5."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for core20, revision 1974."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for core22, revision 858."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for firefox, revision 2987."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for gnome-3-38-2004, revision 143."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for gnome-42-2204, revision 120."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for gtk-common-themes, revision 1535."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for snapd, revision 19457."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for snapd-desktop-integration, revision 83."
Feb 14 15:13:57,jkvcombo,systemd,1,"Mounted Mount unit for snap-store, revision 959."
Feb 14 15:13:57,jkvcombo,systemd,1,Reached target Mounted snaps.
Feb 14 15:13:57,jkvcombo,systemd,1,Starting Show Plymouth Boot Screen...
Feb 14 15:13:57,jkvcombo,systemd,1,Starting Apply Kernel Variables...
Feb 14 15:13:57,jkvcombo,systemd,1,Received SIGRTMIN+20 from PID 233 (plymouthd).
Feb 14 15:13:57,jkvcombo,systemd,1,Started Show Plymouth Boot Screen.
Feb 14 15:13:57,jkvcombo,systemd,1,Condition check resulted in Dispatch Password Requests to Console Directory Watch being skipped.
Feb 14 15:13:57,jkvcombo,systemd,1,Started Forward Password Requests to Plymouth Directory Watch.
Feb 14 15:13:57,jkvcombo,systemd,1,Reached target Local Encrypted Volumes.
